playerNr,groupNr,subjectNr,period,treatment,relevant,t2_correcttexts,t2_numseq,t2_answer,tediousness,test,wta11,wta12,wta13,wta14,wta15,wta16,wta17,wta18,wta19,wta110,wta111,wta112,wta113,wta114,wta115,wta116,wta21,wta22,wta23,wta24,wta25,wta26,wta27,wta28,wta29,wta210,wta211,wta212,wta213,wta214,wta215,wta216,pchosen,optionchosen,extra,scenario,rel,totaltask,vchosen,gender,age,bonus,total,time_welcome,time_instructions_pre,time_encryption_task,time_questionnaire1,time_task_preparation,time_questionnaire2,time_encryption_main_task,time_summary,session_date
11,0,0,1,1,11,15,18,NA,9,1,1,2,1,1,2,1,1,1,2,1,1,2,2,1,1,1,1,2,1,1,2,2,1,1,1,2,1,1,2,2,1,1,6.75,1,0,1,11,15,4,1,32,4,6,9,16,184,22,33,11,1031,39,2019-12-21T08:34:00Z
12,0,0,1,1,12,30,31,NA,7,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,7,2,15,1,12,30,7,1,43,7,9,24,51,113,10,39,7,848,29,2019-12-21T08:34:00Z
13,0,0,1,1,13,30,33,NA,9,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,7.25,2,15,1,13,30,7.25,2,44,7.25,9.25,8,81,83,8,23,6,987,184,2019-12-21T08:34:00Z
14,0,0,1,1,14,30,31,NA,10,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,7.5,2,15,1,14,30,7.5,3,31,7.5,9.5,20,46,158,10,27,13,1161,26,2019-12-21T08:34:00Z
15,0,0,1,1,15,15,16,NA,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7.75,1,0,1,15,15,4,2,32,4,6,29,8,201,9,28,7,751,57,2019-12-21T08:34:00Z
16,0,0,1,1,16,30,32,NA,4,NA,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,8,2,15,1,16,30,8,2,35,8,10,36,33,101,11,40,8,1072,27,2019-12-21T08:34:00Z
17,0,0,1,1,17,30,33,NA,4,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,4.25,1,15,2,8.5,30,4,2,57,4,6,12,53,238,13,30,7,1669,30,2019-12-21T08:34:00Z
18,0,0,1,1,18,30,35,NA,7,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4.5,1,15,2,9,30,4,2,21,4,6,5,11,159,8,62,10,1500,33,2019-12-21T08:34:00Z
19,0,0,1,1,19,30,36,NA,9,1,2,2,1,2,2,1,1,2,1,1,2,2,1,2,2,1,1,2,1,2,1,2,1,2,1,2,1,2,1,1,2,1,4.75,1,15,2,9.5,30,4,1,25,4,6,32,8,121,9,7,8,1517,19,2019-12-21T08:34:00Z
20,0,0,1,1,20,30,33,NA,8,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,5,1,15,2,10,30,4,2,45,4,6,22,28,116,9,27,6,1128,21,2019-12-21T08:34:00Z
21,0,0,1,1,21,45,66,NA,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,5.25,2,30,2,10.5,45,5.25,2,24,5.25,7.25,4,24,120,9,12,4,1122,23,2019-12-21T08:34:00Z
22,0,0,1,1,22,30,34,NA,7,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,5.5,1,15,2,11,30,4,1,30,4,6,14,56,121,15,37,13,1070,35,2019-12-21T08:34:00Z
23,0,0,1,1,23,30,35,NA,9,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,5.75,1,15,2,11.5,30,4,2,28,4,6,13,23,126,8,19,7,930,23,2019-12-21T08:34:00Z
24,0,0,1,1,24,30,41,NA,7,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,15,2,12,30,4,1,35,4,6,28,7,95,10,7,4,1078,15,2019-12-21T08:34:00Z
26,0,0,1,1,26,30,37,NA,10,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6.5,1,15,2,13,30,4,2,55,4,6,15,49,120,8,37,6,1382,20,2019-12-21T08:34:00Z
27,0,0,1,1,27,45,49,NA,7,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,6.75,2,30,2,13.5,45,6.75,1,32,6.75,8.75,11,36,84,13,20,7,1376,22,2019-12-21T08:34:00Z
28,0,0,1,1,28,45,50,NA,10,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,7,2,30,2,14,45,7,2,34,7,9,35,41,91,11,31,9,1310,29,2019-12-21T08:34:00Z
29,0,0,1,1,29,45,48,NA,10,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,7.25,2,30,2,14.5,45,7.25,1,32,7.25,9.25,11,19,103,8,26,3,1591,19,2019-12-21T08:34:00Z
30,0,0,1,1,30,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,7,NA,NA,NA,NA,NA,NA,2019-12-21T08:34:00Z
31,0,0,1,1,31,45,46,NA,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,7.75,2,30,2,15.5,45,7.75,1,24,7.75,9.75,8,24,77,8,29,4,1334,21,2019-12-21T08:34:00Z
32,0,0,1,1,32,45,50,NA,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,8,2,30,2,16,45,8,1,43,8,10,18,41,133,10,37,6,1499,26,2019-12-21T08:34:00Z
33,0,0,1,1,1,15,17,NA,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4.25,1,0,1,1,15,4,2,29,4,6,18,16,135,8,26,5,362,18,2019-12-21T08:34:00Z
34,0,0,1,1,2,15,16,NA,10,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,4.5,1,0,1,2,15,4,1,28,4,6,4,14,131,10,9,4,522,15,2019-12-21T08:34:00Z
35,0,0,1,1,3,0,112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,11,NA,NA,NA,NA,NA,NA,2019-12-21T08:34:00Z
36,0,0,1,1,4,30,44,NA,5,1,2,1,1,2,1,1,2,2,1,2,1,2,1,2,1,2,1,2,1,1,2,1,1,2,1,2,2,1,1,1,2,1,5,2,15,1,4,30,5,1,24,5,7,5,26,272,7,6,13,3799,66,2019-12-21T08:34:00Z
37,0,0,1,1,5,15,16,NA,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,2,2,1,1,1,5.25,1,0,1,5,15,4,1,26,4,6,23,8,1048,9,7,9,756,60,2019-12-21T08:34:00Z
38,0,0,1,1,6,15,16,NA,10,NA,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,5.5,1,0,1,6,15,4,1,39,4,6,13,32,88,15,26,8,368,18,2019-12-21T08:34:00Z
39,0,0,1,1,7,30,32,NA,8,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,5.75,2,15,1,7,30,5.75,2,28,5.75,7.75,8,31,165,8,37,8,2021,49,2019-12-21T08:34:00Z
40,0,0,1,1,8,30,37,NA,4,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,6,2,15,1,8,30,6,2,24,6,8,77,52,134,14,69,10,1401,45,2019-12-21T08:34:00Z
41,0,0,1,1,9,30,35,NA,4,NA,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,6.25,2,15,1,9,30,6.25,1,31,6.25,8.25,6,154,118,12,89,6,1655,18,2019-12-21T08:34:00Z
42,0,0,1,1,10,30,32,NA,1,2,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,6.5,2,15,1,10,30,6.5,1,24,6.5,8.5,2085,14,124,6,30,9,1205,17,2019-12-21T08:34:00Z
43,0,0,1,1,11,15,20,NA,7,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,6.75,1,0,1,11,15,4,1,33,4,6,7,25,135,7,34,6,763,27,2019-12-21T08:34:00Z
44,0,0,1,1,12,30,34,NA,3,NA,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,7,2,15,1,12,30,7,1,31,7,9,9,12,286,21,39,12,1138,40,2019-12-21T08:34:00Z
45,0,0,1,1,13,9,10,NA,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7.25,1,0,1,13,15,4,NA,NA,NA,NA,14,10,122,12,25,NA,NA,15,2019-12-21T08:34:00Z
46,0,0,1,1,14,15,16,NA,10,2,1,2,1,1,2,1,1,2,1,2,1,1,2,1,1,2,1,2,1,1,2,1,1,2,1,2,1,1,2,1,2,1,7.5,1,0,1,14,15,4,1,26,4,6,32,19,378,71,59,25,1370,34,2019-12-21T08:34:00Z
47,0,0,1,1,15,30,33,NA,4,NA,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7.75,2,15,1,15,30,7.75,1,36,7.75,9.75,13,67,151,13,27,8,726,16,2019-12-21T08:34:00Z
48,0,0,1,1,16,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,NA,NA,NA,NA,NA,NA,2019-12-21T08:34:00Z
49,0,0,1,1,17,7,8,NA,10,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,4.25,1,15,2,8.5,30,4,NA,NA,NA,NA,3,11,127,5,43,NA,NA,18,2019-12-21T08:34:00Z
50,0,0,1,1,18,30,33,NA,9,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,4.5,1,15,2,9,30,4,2,33,4,6,280,8,172,9,22,5,1252,14,2019-12-21T08:34:00Z
51,0,0,1,1,19,0,1,NA,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4.75,1,15,2,9.5,30,4,NA,NA,NA,NA,8,21,103,8,14,NA,NA,19,2019-12-21T08:34:00Z
52,0,0,1,1,20,30,34,NA,8,NA,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,15,2,10,30,4,2,46,4,6,157,31,160,11,24,9,1476,25,2019-12-21T08:34:00Z
53,0,0,1,1,21,30,33,NA,9,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5.25,1,15,2,10.5,30,4,2,27,4,6,9,692,114,7,16,7,1335,89,2019-12-21T08:34:00Z
54,0,0,1,1,22,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,11,NA,NA,NA,NA,NA,NA,2019-12-21T08:34:00Z
55,0,0,1,1,23,30,31,NA,4,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5.75,1,15,2,11.5,30,4,1,33,4,6,15,96,170,15,26,9,1355,143,2019-12-21T08:34:00Z
56,0,0,1,1,24,45,51,NA,8,NA,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,6,2,30,2,12,45,6,2,25,6,8,913,43,84,13,50,5,2014,24,2019-12-21T08:34:00Z
57,0,0,1,1,25,30,34,NA,5,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,6.25,1,15,2,12.5,30,4,2,50,4,6,76,46,115,15,29,6,1335,27,2019-12-21T08:34:00Z
58,0,0,1,1,26,30,33,NA,10,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,6.5,1,15,2,13,30,4,1,32,4,6,485,113,291,7,37,4,3653,20,2019-12-21T08:34:00Z
59,0,0,1,1,27,2,3,NA,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6.75,1,15,2,13.5,30,4,NA,NA,NA,NA,457,1189,474,7,30,NA,NA,26,2019-12-21T08:34:00Z
60,0,0,1,1,28,9,13,NA,9,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,2,2,2,1,2,1,1,2,2,7,2,30,2,14,45,7,NA,NA,NA,NA,5,32,357,11,15,NA,NA,32,2019-12-21T08:34:00Z
61,0,0,1,1,29,45,50,NA,10,NA,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,7.25,2,30,2,14.5,45,7.25,2,35,7.25,9.25,15,47,91,12,39,7,1135,23,2019-12-21T08:34:00Z
62,0,0,1,1,30,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,12,NA,NA,NA,NA,NA,NA,2019-12-21T08:34:00Z
63,0,0,1,1,31,30,32,NA,8,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,7.75,1,15,2,15.5,30,4,1,30,4,6,8,22,92,7,16,4,942,16,2019-12-21T08:34:00Z
64,0,0,1,1,32,45,51,NA,9,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,8,2,30,2,16,45,8,2,27,8,10,13,242,222,10,20,8,5360,28,2019-12-21T08:34:00Z
65,0,0,1,1,1,15,22,NA,8,NA,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,4.25,1,0,1,1,15,4,1,35,4,6,7,10,85,6,15,3,528,14,2019-12-21T08:34:00Z
66,0,0,1,1,2,2,6,NA,10,2,1,2,2,1,2,1,2,2,1,1,1,2,1,2,1,1,1,2,1,2,1,1,2,1,2,1,2,1,2,1,2,1,4.5,2,15,1,2,30,4.5,NA,NA,NA,NA,3,7,246,5,9,NA,NA,16,2019-12-21T08:34:00Z
67,0,0,1,1,3,15,16,NA,9,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,4.75,1,0,1,3,15,4,2,29,4,6,21,66,128,10,62,8,605,22,2019-12-21T08:34:00Z
68,0,0,1,1,4,15,16,NA,8,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,5,1,0,1,4,15,4,2,30,4,6,148,22,107,8,25,5,509,18,2019-12-21T08:34:00Z
69,0,0,1,1,5,30,36,NA,9,NA,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5.25,2,15,1,5,30,5.25,2,61,5.25,7.25,30,50,179,11,26,8,1526,14,2019-12-21T08:34:00Z
70,0,0,1,1,6,15,18,NA,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5.5,1,0,1,6,15,4,2,57,4,6,6,54,140,13,32,7,766,25,2019-12-21T08:34:00Z
1,0,0,1,2,1,0,1,NA,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4.25,1,0,1,1,0,4,2,25,4,6,17,7,239,5,28,6,4,10,2019-12-23T18:34:00Z
2,0,0,1,2,2,0,1,NA,9,2,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,4.5,1,0,1,2,0,4,1,40,4,6,12,23,103,8,22,7,6,15,2019-12-23T18:34:00Z
3,0,0,1,2,3,15,17,NA,9,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4.75,2,15,1,3,15,4.75,2,29,4.75,6.75,12,33,117,5,4,6,526,10,2019-12-23T18:34:00Z
4,0,0,1,2,4,0,1,NA,7,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,5,1,0,1,4,0,4,2,33,4,6,11,15,109,7,12,10,3,15,2019-12-23T18:34:00Z
5,0,0,1,2,5,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,163,33,NA,NA,NA,NA,NA,NA,2019-12-23T18:34:00Z
6,0,0,1,2,6,0,1,NA,10,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,5.5,1,0,1,6,0,4,1,39,4,6,3,18,63,5,15,4,2,10,2019-12-23T18:34:00Z
7,0,0,1,2,7,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,19,NA,NA,NA,NA,NA,NA,2019-12-23T18:34:00Z
8,0,0,1,2,8,15,17,NA,8,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,6,2,15,1,8,15,6,2,33,6,8,20,64,123,9,30,8,598,35,2019-12-23T18:34:00Z
9,0,0,1,2,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-12-23T18:34:00Z
10,0,0,1,2,10,0,1,NA,10,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6.5,1,0,1,10,0,4,1,63,4,6,15,67,147,16,45,16,7,23,2019-12-23T18:34:00Z
11,0,0,1,2,11,15,36,NA,6,1,1,2,1,2,2,1,1,1,2,1,2,1,1,1,2,2,1,1,2,1,2,1,1,1,2,1,1,1,1,1,2,2,6.75,2,15,1,11,15,6.75,1,36,6.75,8.75,5,8,111,5,34,6,463,17,2019-12-23T18:34:00Z
12,0,0,1,2,12,15,38,NA,10,NA,1,2,1,1,2,1,2,2,1,2,1,2,1,2,1,1,1,2,1,2,1,1,2,1,2,1,2,1,2,1,2,1,7,2,15,1,12,15,7,2,30,7,9,6,7,310,4,5,6,1484,9,2019-12-23T18:34:00Z
13,0,0,1,2,13,15,17,NA,10,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,7.25,2,15,1,13,15,7.25,1,59,7.25,9.25,35,71,199,17,56,20,973,40,2019-12-23T18:34:00Z
14,0,0,1,2,14,15,19,NA,6,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,7.5,2,15,1,14,15,7.5,1,49,7.5,9.5,8,159,174,9,22,8,1260,23,2019-12-23T18:34:00Z
15,0,0,1,2,15,15,16,NA,8,NA,1,1,1,1,1,1,1,2,1,2,1,2,1,1,2,2,1,2,1,1,1,2,2,1,2,1,2,1,1,2,1,2,7.75,2,15,1,15,15,7.75,1,28,7.75,9.75,65,28,240,26,22,26,785,70,2019-12-23T18:34:00Z
16,0,0,1,2,16,0,1,NA,6,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,8,2,15,1,16,15,8,NA,NA,NA,NA,4,21,233,6,21,NA,NA,8,2019-12-23T18:34:00Z
17,0,0,1,2,17,15,26,NA,9,NA,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4.25,1,15,2,8.5,15,4,2,72,4,6,16,40,558,16,31,17,2117,36,2019-12-23T18:34:00Z
18,0,0,1,2,18,15,16,NA,7,NA,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,4.5,1,15,2,9,15,4,1,45,4,6,13,39,123,12,56,7,410,13,2019-12-23T18:34:00Z
19,0,0,1,2,19,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,7,NA,NA,NA,NA,NA,NA,2019-12-23T18:34:00Z
21,0,0,1,2,21,15,19,NA,10,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5.25,1,15,2,10.5,15,4,2,40,4,6,108,23,387,8,26,8,1321,22,2019-12-23T18:34:00Z
22,0,0,1,2,22,30,35,NA,7,NA,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,5.5,2,30,2,11,30,5.5,1,44,5.5,7.5,21,66,137,19,42,8,1445,113,2019-12-23T18:34:00Z
23,0,0,1,2,23,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,2019-12-23T18:34:00Z
26,0,0,1,2,26,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,58,NA,NA,NA,NA,NA,NA,2019-12-23T18:34:00Z
27,0,0,1,2,27,2,6,NA,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6.75,1,15,2,13.5,15,4,NA,NA,NA,NA,9,15,121,11,14,NA,NA,16,2019-12-23T18:34:00Z
28,0,0,1,2,28,30,34,NA,9,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,7,2,30,2,14,30,7,1,28,7,9,4,15,156,9,13,6,1233,20,2019-12-23T18:34:00Z
29,0,0,1,2,29,15,17,NA,8,1,2,1,2,1,2,2,1,2,1,2,1,2,1,2,1,1,1,2,1,2,1,1,2,1,2,2,1,2,1,2,1,2,7.25,1,15,2,14.5,15,4,1,28,4,6,9,433,176,8,25,11,981,50,2019-12-23T18:34:00Z
30,0,0,1,2,30,30,36,NA,10,1,2,1,1,1,1,2,2,2,1,1,2,1,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,7.5,2,30,2,15,30,7.5,2,25,7.5,9.5,12,79,117,10,44,5,1124,30,2019-12-23T18:34:00Z
31,0,0,1,2,31,30,31,NA,9,NA,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,7.75,2,30,2,15.5,30,7.75,2,34,7.75,9.75,9,17,95,11,28,6,833,21,2019-12-23T18:34:00Z
32,0,0,1,2,32,30,32,NA,6,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,8,2,30,2,16,30,8,2,25,8,10,4,43,149,22,40,9,1367,22,2019-12-23T18:34:00Z
33,0,0,1,2,1,0,1,NA,8,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,4.25,1,0,1,1,0,4,2,43,4,6,8,44,96,19,26,9,3,15,2019-12-23T18:34:00Z
34,0,0,1,2,2,0,1,NA,6,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,4.5,1,0,1,2,0,4,1,27,4,6,9,43,125,7,32,5,4,12,2019-12-23T18:34:00Z
35,0,0,1,2,3,0,1,NA,9,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,4.75,1,0,1,3,0,4,1,45,4,6,21,341,315,16,60,19,8,36,2019-12-23T18:34:00Z
