pid,scenario,treatment,switching_point,inconsistent_choices,relevant,tediousness,test,pchosen,optionchosen,extra,scenariochosen,totaltask,vchosen,gender,age,total,time_welcome,time_instructions_pre,time_encryption_task,time_questionnaire1,time_task_preparation,time_questionnaire2,time_encryption_main_task,time_summary,session_date,reservation_wage
24,Scenario1,BROAD,8,0,24,3,1,6,2,30,2,45,8,Male,28,10,10,53,246,29,22,8,2393,27,2019-12-18T17:59:00Z,2
24,Scenario2,BROAD,8,0,24,3,1,6,2,30,2,45,8,Male,28,10,10,53,246,29,22,8,2393,27,2019-12-18T17:59:00Z,2
25,Scenario1,NARROW,1,0,25,7,2,6.25,2,30,2,45,6.25,NA,NA,NA,5,9,184,7,9,NA,NA,12,2019-12-18T17:59:00Z,0.25
25,Scenario2,NARROW,1,0,25,7,2,6.25,2,30,2,45,6.25,NA,NA,NA,5,9,184,7,9,NA,NA,12,2019-12-18T17:59:00Z,0.25
26,Scenario1,LOW,17,0,26,9,1,6.5,1,15,2,15,4,NA,NA,NA,3,3,83,2,2,NA,NA,NA,2019-12-18T17:59:00Z,4.25
26,Scenario2,LOW,17,0,26,9,1,6.5,1,15,2,15,4,NA,NA,NA,3,3,83,2,2,NA,NA,NA,2019-12-18T17:59:00Z,4.25
27,Scenario1,BROAD,8,0,27,4,1,6.75,2,30,2,45,8.75,Male,59,10.75,20,72,164,13,46,9,1856,20,2019-12-18T17:59:00Z,2
27,Scenario2,BROAD,10,0,27,4,1,6.75,2,30,2,45,8.75,Male,59,10.75,20,72,164,13,46,9,1856,20,2019-12-18T17:59:00Z,2.5
28,Scenario1,NARROW,8,0,1,8,NA,4.25,1,0,1,15,4,Female,58,6,14,1565,117,11,29,5,467,19,2019-12-19T08:39:00Z,2
28,Scenario2,NARROW,12,0,1,8,NA,4.25,1,0,1,15,4,Female,58,6,14,1565,117,11,29,5,467,19,2019-12-19T08:39:00Z,3
29,Scenario1,LOW,17,0,2,9,1,4.5,1,0,1,0,4,Male,31,6,18,36,159,7,23,6,4,14,2019-12-19T08:39:00Z,4.25
29,Scenario2,LOW,17,0,2,9,1,4.5,1,0,1,0,4,Male,31,6,18,36,159,7,23,6,4,14,2019-12-19T08:39:00Z,4.25
30,Scenario1,BROAD,17,0,3,5,1,4.75,1,0,1,15,6,NA,NA,NA,32,5,164,5,28,NA,NA,36,2019-12-19T08:39:00Z,4.25
30,Scenario2,BROAD,17,0,3,5,1,4.75,1,0,1,15,6,NA,NA,NA,32,5,164,5,28,NA,NA,36,2019-12-19T08:39:00Z,4.25
31,Scenario1,NARROW,12,0,4,7,1,5,1,0,1,15,4,Male,28,6,4,12,150,7,25,5,546,20,2019-12-19T08:39:00Z,3
31,Scenario2,NARROW,12,0,4,7,1,5,1,0,1,15,4,Male,28,6,4,12,150,7,25,5,546,20,2019-12-19T08:39:00Z,3
32,Scenario1,LOW,7,0,5,4,1,5.25,1,0,1,0,4,Female,44,6,11,18,82,12,25,6,4,16,2019-12-19T08:39:00Z,1.75
32,Scenario2,LOW,12,0,5,4,1,5.25,1,0,1,0,4,Female,44,6,11,18,82,12,25,6,4,16,2019-12-19T08:39:00Z,3
33,Scenario1,BROAD,4,1,6,7,1,5.5,1,0,1,15,6,Male,26,8,13,19,222,16,26,8,671,155,2019-12-19T08:39:00Z,1
33,Scenario2,BROAD,17,0,6,7,1,5.5,1,0,1,15,6,Male,26,8,13,19,222,16,26,8,671,155,2019-12-19T08:39:00Z,4.25
34,Scenario1,LOW,1,3,8,10,2,6,2,15,1,15,6,Female,29,8,20,28,150,9,10,10,580,26,2019-12-19T08:39:00Z,0.25
34,Scenario2,LOW,2,5,8,10,2,6,2,15,1,15,6,Female,29,8,20,28,150,9,10,10,580,26,2019-12-19T08:39:00Z,0.5
35,Scenario1,BROAD,12,0,9,9,1,6.25,1,0,1,15,6,Male,39,8,6,15,116,7,57,6,529,28,2019-12-19T08:39:00Z,3
35,Scenario2,BROAD,16,0,9,9,1,6.25,1,0,1,15,6,Male,39,8,6,15,116,7,57,6,529,28,2019-12-19T08:39:00Z,4
36,Scenario1,NARROW,3,4,10,7,1,6.5,1,0,1,15,4,Male,47,6,21,41,178,5,15,8,1034,27,2019-12-19T08:39:00Z,0.75
36,Scenario2,NARROW,5,2,10,7,1,6.5,1,0,1,15,4,Male,47,6,21,41,178,5,15,8,1034,27,2019-12-19T08:39:00Z,1.25
37,Scenario1,LOW,14,0,11,10,1,6.75,1,0,1,0,4,Male,31,6,21,92,296,10,29,15,5,20,2019-12-19T08:39:00Z,3.5
37,Scenario2,LOW,17,0,11,10,1,6.75,1,0,1,0,4,Male,31,6,21,92,296,10,29,15,5,20,2019-12-19T08:39:00Z,4.25
38,Scenario1,BROAD,NA,0,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-12-19T08:39:00Z,NA
38,Scenario2,BROAD,NA,0,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-12-19T08:39:00Z,NA
39,Scenario1,NARROW,6,0,13,4,1,7.25,2,15,1,30,7.25,Male,25,9.25,5,42,75,6,21,4,794,18,2019-12-19T08:39:00Z,1.5
39,Scenario2,NARROW,8,0,13,4,1,7.25,2,15,1,30,7.25,Male,25,9.25,5,42,75,6,21,4,794,18,2019-12-19T08:39:00Z,2
40,Scenario1,LOW,NA,0,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,50,NA,NA,NA,NA,NA,NA,2019-12-19T08:39:00Z,NA
40,Scenario2,LOW,NA,0,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,50,NA,NA,NA,NA,NA,NA,2019-12-19T08:39:00Z,NA
41,Scenario1,BROAD,NA,0,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,2019-12-19T08:39:00Z,NA
41,Scenario2,BROAD,NA,0,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,2019-12-19T08:39:00Z,NA
42,Scenario1,NARROW,17,0,16,6,NA,8,1,0,1,15,4,Female,68,6,34,41,898,12,67,9,531,25,2019-12-19T08:39:00Z,4.25
42,Scenario2,NARROW,17,0,16,6,NA,8,1,0,1,15,4,Female,68,6,34,41,898,12,67,9,531,25,2019-12-19T08:39:00Z,4.25
43,Scenario1,LOW,11,0,17,5,2,4.25,1,15,2,15,4,Male,36,6,65,33,194,12,31,6,1058,32,2019-12-19T08:39:00Z,2.75
43,Scenario2,LOW,15,0,17,5,2,4.25,1,15,2,15,4,Male,36,6,65,33,194,12,31,6,1058,32,2019-12-19T08:39:00Z,3.75
44,Scenario1,BROAD,16,0,18,10,1,4.5,1,15,2,30,6,NA,NA,NA,5,31,93,5,15,NA,NA,33,2019-12-19T08:39:00Z,4
44,Scenario2,BROAD,17,0,18,10,1,4.5,1,15,2,30,6,NA,NA,NA,5,31,93,5,15,NA,NA,33,2019-12-19T08:39:00Z,4.25
45,Scenario1,NARROW,1,0,19,5,2,4.75,1,15,2,30,4,Female,38,6,4,17,236,11,32,7,1747,10,2019-12-19T08:39:00Z,0.25
45,Scenario2,NARROW,11,0,19,5,2,4.75,1,15,2,30,4,Female,38,6,4,17,236,11,32,7,1747,10,2019-12-19T08:39:00Z,2.75
46,Scenario1,LOW,8,0,20,6,NA,5,1,15,2,15,4,Male,32,6,31,52,359,22,50,7,711,24,2019-12-19T08:39:00Z,2
46,Scenario2,LOW,12,0,20,6,NA,5,1,15,2,15,4,Male,32,6,31,52,359,22,50,7,711,24,2019-12-19T08:39:00Z,3
47,Scenario1,BROAD,17,0,21,10,NA,5.25,1,15,2,30,6,Male,47,8,12,42,122,8,28,8,1062,19,2019-12-19T08:39:00Z,4.25
47,Scenario2,BROAD,16,0,21,10,NA,5.25,1,15,2,30,6,Male,47,8,12,42,122,8,28,8,1062,19,2019-12-19T08:39:00Z,4
48,Scenario1,NARROW,8,0,22,10,2,5.5,1,15,2,30,4,Female,24,6,190,25,127,6,43,4,2095,18,2019-12-19T08:39:00Z,2
48,Scenario2,NARROW,12,0,22,10,2,5.5,1,15,2,30,4,Female,24,6,190,25,127,6,43,4,2095,18,2019-12-19T08:39:00Z,3
49,Scenario1,LOW,16,0,23,3,1,5.75,1,15,2,15,4,Male,31,6,7,39,144,10,15,5,392,19,2019-12-19T08:39:00Z,4
49,Scenario2,LOW,17,0,23,3,1,5.75,1,15,2,15,4,Male,31,6,7,39,144,10,15,5,392,19,2019-12-19T08:39:00Z,4.25
50,Scenario1,BROAD,6,0,24,4,2,6,2,30,2,45,8,Male,23,10,15,19,178,9,37,5,1329,22,2019-12-19T08:39:00Z,1.5
50,Scenario2,BROAD,6,0,24,4,2,6,2,30,2,45,8,Male,23,10,15,19,178,9,37,5,1329,22,2019-12-19T08:39:00Z,1.5
51,Scenario1,NARROW,8,0,25,8,1,6.25,2,30,2,45,6.25,Female,41,8.25,28,38,155,9,38,8,2119,31,2019-12-19T08:39:00Z,2
51,Scenario2,NARROW,9,0,25,8,1,6.25,2,30,2,45,6.25,Female,41,8.25,28,38,155,9,38,8,2119,31,2019-12-19T08:39:00Z,2.25
52,Scenario1,LOW,NA,0,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2019-12-19T08:39:00Z,NA
52,Scenario2,LOW,NA,0,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2019-12-19T08:39:00Z,NA
53,Scenario1,BROAD,8,0,27,6,1,6.75,1,15,2,30,6,Female,30,8,256,52,140,20,58,8,1516,25,2019-12-19T08:39:00Z,2
53,Scenario2,BROAD,12,0,27,6,1,6.75,1,15,2,30,6,Female,30,8,256,52,140,20,58,8,1516,25,2019-12-19T08:39:00Z,3
54,Scenario1,NARROW,1,5,28,5,1,7,1,15,2,30,4,NA,NA,NA,20,32,272,5,12,NA,NA,50,2019-12-19T08:39:00Z,0.25
54,Scenario2,NARROW,1,5,28,5,1,7,1,15,2,30,4,NA,NA,NA,20,32,272,5,12,NA,NA,50,2019-12-19T08:39:00Z,0.25
55,Scenario1,LOW,14,0,29,4,1,7.25,2,30,2,30,7.25,Male,39,9.25,14,44,132,9,20,7,1789,20,2019-12-19T08:39:00Z,3.5
55,Scenario2,LOW,12,0,29,4,1,7.25,2,30,2,30,7.25,Male,39,9.25,14,44,132,9,20,7,1789,20,2019-12-19T08:39:00Z,3
56,Scenario1,BROAD,17,0,30,9,NA,7.5,1,15,2,30,6,Female,53,8,7,70,173,6,32,8,1226,21,2019-12-19T08:39:00Z,4.25
56,Scenario2,BROAD,17,0,30,9,NA,7.5,1,15,2,30,6,Female,53,8,7,70,173,6,32,8,1226,21,2019-12-19T08:39:00Z,4.25
57,Scenario1,NARROW,12,0,31,10,NA,7.75,1,15,2,30,4,Male,34,6,119,57,147,9,39,8,915,25,2019-12-19T08:39:00Z,3
57,Scenario2,NARROW,17,0,31,10,NA,7.75,1,15,2,30,4,Male,34,6,119,57,147,9,39,8,915,25,2019-12-19T08:39:00Z,4.25
58,Scenario1,LOW,5,0,32,4,2,8,2,30,2,30,8,Female,31,10,15,56,104,13,37,5,927,22,2019-12-19T08:39:00Z,1.25
58,Scenario2,LOW,6,0,32,4,2,8,2,30,2,30,8,Female,31,10,15,56,104,13,37,5,927,22,2019-12-19T08:39:00Z,1.5
59,Scenario1,BROAD,1,0,1,9,2,4.25,2,15,1,30,6.25,Female,43,8.25,34,108,262,10,64,7,1423,42,2019-12-19T08:39:00Z,0.25
59,Scenario2,BROAD,1,0,1,9,2,4.25,2,15,1,30,6.25,Female,43,8.25,34,108,262,10,64,7,1423,42,2019-12-19T08:39:00Z,0.25
60,Scenario1,NARROW,12,0,2,8,1,4.5,1,0,1,15,4,Male,19,6,4,18,61,5,14,4,359,10,2019-12-19T08:39:00Z,3
60,Scenario2,NARROW,17,0,2,8,1,4.5,1,0,1,15,4,Male,19,6,4,18,61,5,14,4,359,10,2019-12-19T08:39:00Z,4.25
61,Scenario1,LOW,5,0,3,6,2,4.75,1,0,1,0,4,Male,22,6,10,38,93,15,26,5,5,19,2019-12-19T08:39:00Z,1.25
61,Scenario2,LOW,5,0,3,6,2,4.75,1,0,1,0,4,Male,22,6,10,38,93,15,26,5,5,19,2019-12-19T08:39:00Z,1.25
62,Scenario1,BROAD,NA,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-12-19T08:39:00Z,NA
62,Scenario2,BROAD,NA,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-12-19T08:39:00Z,NA
63,Scenario1,NARROW,8,0,5,2,1,5.25,1,0,1,15,4,Male,29,6,8,5,153,7,309,4,482,15,2019-12-19T08:39:00Z,2
63,Scenario2,NARROW,15,0,5,2,1,5.25,1,0,1,15,4,Male,29,6,8,5,153,7,309,4,482,15,2019-12-19T08:39:00Z,3.75
64,Scenario1,LOW,1,6,6,10,1,5.5,2,15,1,15,5.5,Male,26,7.5,116,12,240,8,39,9,1334,26,2019-12-19T08:39:00Z,0.25
64,Scenario2,LOW,2,5,6,10,1,5.5,2,15,1,15,5.5,Male,26,7.5,116,12,240,8,39,9,1334,26,2019-12-19T08:39:00Z,0.5
65,Scenario1,BROAD,4,0,7,9,2,5.75,2,15,1,30,7.75,Male,29,9.75,33,71,145,10,44,7,849,22,2019-12-19T08:39:00Z,1
65,Scenario2,BROAD,4,0,7,9,2,5.75,2,15,1,30,7.75,Male,29,9.75,33,71,145,10,44,7,849,22,2019-12-19T08:39:00Z,1
66,Scenario1,NARROW,8,0,1,8,1,4.25,1,0,1,15,4,Male,36,6,1831,48,246,10,35,9,739,345,2019-12-19T15:12:00Z,2
66,Scenario2,NARROW,17,0,1,8,1,4.25,1,0,1,15,4,Male,36,6,1831,48,246,10,35,9,739,345,2019-12-19T15:12:00Z,4.25
67,Scenario1,LOW,2,1,2,9,2,4.5,2,15,1,15,4.5,Female,42,6.5,10,34,165,10,15,5,775,21,2019-12-19T15:12:00Z,0.5
67,Scenario2,LOW,4,2,2,9,2,4.5,2,15,1,15,4.5,Female,42,6.5,10,34,165,10,15,5,775,21,2019-12-19T15:12:00Z,1
68,Scenario1,BROAD,NA,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,28,NA,NA,NA,NA,NA,NA,2019-12-19T15:12:00Z,NA
68,Scenario2,BROAD,NA,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,28,NA,NA,NA,NA,NA,NA,2019-12-19T15:12:00Z,NA
69,Scenario1,NARROW,NA,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,42,NA,NA,NA,NA,NA,NA,2019-12-19T15:12:00Z,NA
69,Scenario2,NARROW,NA,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,42,NA,NA,NA,NA,NA,NA,2019-12-19T15:12:00Z,NA
70,Scenario1,LOW,8,0,5,8,1,5.25,1,0,1,0,4,Male,32,6,141,6,764,6,11,17,40,18,2019-12-19T15:12:00Z,2
70,Scenario2,LOW,9,0,5,8,1,5.25,1,0,1,0,4,Male,32,6,141,6,764,6,11,17,40,18,2019-12-19T15:12:00Z,2.25
71,Scenario1,BROAD,1,0,6,5,2,5.5,2,15,1,30,7.5,Female,37,9.5,30,20,134,8,18,6,682,14,2019-12-19T15:12:00Z,0.25
71,Scenario2,BROAD,1,0,6,5,2,5.5,2,15,1,30,7.5,Female,37,9.5,30,20,134,8,18,6,682,14,2019-12-19T15:12:00Z,0.25
72,Scenario1,NARROW,NA,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,2019-12-19T15:12:00Z,NA
72,Scenario2,NARROW,NA,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,2019-12-19T15:12:00Z,NA
73,Scenario1,LOW,1,0,8,2,2,6,2,15,1,15,6,Female,27,8,9,106,209,8,31,11,702,28,2019-12-19T15:12:00Z,0.25
73,Scenario2,LOW,1,0,8,2,2,6,2,15,1,15,6,Female,27,8,9,106,209,8,31,11,702,28,2019-12-19T15:12:00Z,0.25
74,Scenario1,BROAD,8,0,9,10,1,6.25,2,15,1,30,8.25,Female,24,10.25,19,26,99,7,29,8,908,48,2019-12-19T15:12:00Z,2
74,Scenario2,BROAD,8,0,9,10,1,6.25,2,15,1,30,8.25,Female,24,10.25,19,26,99,7,29,8,908,48,2019-12-19T15:12:00Z,2
75,Scenario1,NARROW,7,0,10,8,NA,6.5,2,15,1,30,6.5,Female,62,8.5,26,59,139,16,39,9,957,22,2019-12-19T15:12:00Z,1.75
75,Scenario2,NARROW,12,0,10,8,NA,6.5,2,15,1,30,6.5,Female,62,8.5,26,59,139,16,39,9,957,22,2019-12-19T15:12:00Z,3
76,Scenario1,LOW,2,0,11,2,2,6.75,2,15,1,15,6.75,Female,34,8.75,21,85,209,11,485,8,686,54,2019-12-19T15:12:00Z,0.5
76,Scenario2,LOW,4,0,11,2,2,6.75,2,15,1,15,6.75,Female,34,8.75,21,85,209,11,485,8,686,54,2019-12-19T15:12:00Z,1
77,Scenario1,BROAD,17,0,12,7,1,7,1,0,1,15,6,Male,45,8,21,40,102,12,465,6,608,21,2019-12-19T15:12:00Z,4.25
77,Scenario2,BROAD,17,0,12,7,1,7,1,0,1,15,6,Male,45,8,21,40,102,12,465,6,608,21,2019-12-19T15:12:00Z,4.25
78,Scenario1,NARROW,12,0,13,5,NA,7.25,2,15,1,30,7.25,Male,55,9.25,95,70,181,18,52,11,1157,30,2019-12-19T15:12:00Z,3
78,Scenario2,NARROW,13,0,13,5,NA,7.25,2,15,1,30,7.25,Male,55,9.25,95,70,181,18,52,11,1157,30,2019-12-19T15:12:00Z,3.25
79,Scenario1,LOW,12,0,14,8,1,7.5,2,15,1,15,7.5,Male,52,9.5,17,14,205,15,31,7,1301,20,2019-12-19T15:12:00Z,3
79,Scenario2,LOW,17,0,14,8,1,7.5,2,15,1,15,7.5,Male,52,9.5,17,14,205,15,31,7,1301,20,2019-12-19T15:12:00Z,4.25
80,Scenario1,BROAD,NA,0,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,13,NA,NA,NA,NA,NA,NA,2019-12-19T15:12:00Z,NA
80,Scenario2,BROAD,NA,0,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,13,NA,NA,NA,NA,NA,NA,2019-12-19T15:12:00Z,NA
81,Scenario1,NARROW,NA,0,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,121,NA,NA,NA,NA,NA,NA,2019-12-19T15:12:00Z,NA
81,Scenario2,NARROW,NA,0,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,121,NA,NA,NA,NA,NA,NA,2019-12-19T15:12:00Z,NA
82,Scenario1,LOW,17,0,17,6,1,4.25,1,15,2,15,4,Male,29,6,13,1555,224,12,30,6,544,15,2019-12-19T15:12:00Z,4.25
82,Scenario2,LOW,17,0,17,6,1,4.25,1,15,2,15,4,Male,29,6,13,1555,224,12,30,6,544,15,2019-12-19T15:12:00Z,4.25
83,Scenario1,BROAD,16,0,18,3,1,4.5,1,15,2,30,6,Male,40,8,19,19,111,13,37,10,990,20,2019-12-19T15:12:00Z,4
83,Scenario2,BROAD,17,0,18,3,1,4.5,1,15,2,30,6,Male,40,8,19,19,111,13,37,10,990,20,2019-12-19T15:12:00Z,4.25
84,Scenario1,NARROW,8,0,19,9,1,4.75,1,15,2,30,4,Female,26,6,1739,9,207,5,8,6,1396,16,2019-12-19T15:12:00Z,2
